Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce
169,-50,3667,rl,-123.24880786700375,-156.08198224927068,Gradual,0.6000000000000001
170,0,3667,rl,405.61538623789824,355.9725295972483,Gradual,0.8
171,-50,3617,rl,25.990390494362575,169.46458046834343,Gradual,0.8
172,0,3617,rl,349.94355804438055,76.94636244161502,Gradual,0.8
173,90,3707,rl,251.1201148226779,214.9720708348677,Gradual,1.0
174,0,3707,rl,462.8901113580992,343.9725295972479,Gradual,1.0
175,93,3800,rl,171.9237523601894,265.92375236019,Gradual,1.0
176,0,3800,rl,123.4422867203339,166.98966566064328,Gradual,1.2
177,0,3800,rl,432.58683937121737,389.9212514854396,Gradual,1.2
178,0,3800,rl,240.95178673568535,355.7740762582628,Gradual,1.2
179,0,3800,rl,237.87893929232953,181.95234436925855,Gradual,1.4
180,0,3800,rl,272.57066668289247,98.92041832514965,Gradual,1.4
181,0,3800,rl,91.71597619048914,154.98966566064308,Gradual,1.4
182,0,3800,rl,378.52908020514286,143.95234436925867,Gradual,1.5999999999999999
183,0,3800,rl,478.03056462840414,352.9212514854397,Gradual,1.5999999999999999
184,0,3800,rl,116.33151818218572,65.92430842289836,Gradual,1.5999999999999999
185,83,3883,rl,360.4193379942259,233.93468975296875,Gradual,1.7999999999999998
186,0,3883,rl,431.8186602959087,397.91805133950413,Gradual,1.7999999999999998
187,0,3883,rl,264.1701367184414,167.95852322005868,Gradual,1.7999999999999998
188,0,3883,rl,491.198782087189,406.9180513395042,Gradual,1.9999999999999998
189,79,3962,rl,420.80797247096655,260.93468975296906,Gradual,1.9999999999999998
190,0,3962,rl,396.4989825188202,158.92499283884578,Gradual,1.9999999999999998
191,0,3962,rl,126.49721031892174,182.9289016970548,None,0.0
192,87,4049,rl,286.32221318537177,242.98665582244618,None,0.0
193,-50,3999,rl,6.92041832514943,166.88972551214735,None,0.0
194,95,4094,rl,162.06551894078956,196.92890169705473,None,0.0
195,91,4185,rl,89.92890169705409,337.20213618452283,None,0.0
196,-50,4135,rl,-56.01380358977646,79.39177995723294,None,0.0
197,0,4135,rl,387.9522445649004,472.4998698119502,None,0.0
198,-50,4085,rl,-142.64237110715763,-240.07531568974886,None,0.0
199,-50,4035,rl,-103.22568459203015,-157.09351486196917,None,0.0
200,0,4035,rl,265.0543157514045,104.90079403706036,None,0.0
201,91,4126,,230.48993043661147,217.92890169705473,None,0.0
202,0,4126,,329.7828389369129,359.90405241822185,None,0.0
203,-33,4093,,483.0960913622791,325.9279202185668,None,0.0
204,-50,4043,,224.84479551927245,35.96698294911673,None,0.0
205,0,4043,,418.5850092010494,359.99001211845473,None,0.0
206,0,4043,,382.81718748658824,346.91448169030775,None,0.0
207,98,4141,,107.97207083486813,202.82961268008427,None,0.0
208,-50,4091,,35.958523220058225,187.1618413624537,None,0.0
209,-50,4041,,9.529514260669426,59.90079403705996,None,0.0
210,0,4041,,67.9441298132286,65.92430842289836,None,0.0
211,79,4120,,412.42872681290226,296.964526559999,Sudden,2.0
212,0,4120,,545.8633585712932,377.9212514854396,Sudden,2.0
213,-37,4083,,555.180176934133,319.9279202185667,Sudden,2.0
214,71,4154,,557.0585396546107,280.90283675724976,Sudden,2.0
215,0,4154,,608.00560689918,437.9086065400785,Sudden,2.0
216,0,4154,,475.22509897125485,382.9212514854396,Sudden,2.0
217,-50,4104,,34.99039049436205,152.85893798785804,Sudden,2.0
218,0,4104,,304.88412246393665,53.966982949117,Sudden,2.0
219,0,4104,,389.2527487979974,343.9725295972482,Sudden,2.0
220,-50,4054,,300.938338359409,20.935296870548463,Sudden,2.0
221,0,4054,,448.2900076301387,346.9900121184544,Sudden,2.0
222,-38,4016,,563.9096305033057,299.95178673568483,Sudden,2.0
223,0,4016,,489.8021990383977,355.972529597248,Sudden,2.0
224,0,4016,,649.442741583404,406.9231963286369,Sudden,2.0
225,85,4101,,329.1117094493171,223.9866558224461,Sudden,2.0
226,83,4184,,355.93087466425857,248.92375236018987,Sudden,2.0
227,0,4184,,373.325010098712,367.99001211845484,Sudden,2.0
228,82,4266,,373.9108813238712,260.9645265599991,Sudden,2.0
229,0,4266,,299.50623517043874,107.95852322005886,Sudden,2.0
230,-50,4216,,26.596729247226637,94.97554750698522,Sudden,2.0
231,0,4216,,311.9804495844084,187.97207083486808,Sudden,2.0
232,81,4297,,386.49366344737615,247.9028367572499,Sudden,2.0
233,0,4297,,471.02528636548266,433.91805133950373,Sudden,2.0
234,0,4297,,348.1861798293451,344.92792021856684,Sudden,2.0
235,0,4297,,261.30291702804305,140.95852322005823,Sudden,2.0
236,0,4297,,449.05453504887186,397.9144816903077,Sudden,2.0
237,0,4297,,513.9921560176159,409.91805133950413,Sudden,2.0
238,0,4297,,86.95852322005881,187.56018229125556,Sudden,2.0
239,0,4297,,537.3650065080582,364.99001211845484,Sudden,2.0
240,0,4297,,367.86744990732626,424.97588114574194,Sudden,2.0
241,0,4297,,231.97105285173976,349.29504926857174,None,0.0
242,89,4386,,254.34855357285775,238.9237523601897,None,0.0
243,-50,4336,,39.95852322005824,179.1618413624537,None,0.0
244,-50,4286,,-3.092492460887506,-9.064703129451278,None,0.0
245,0,4286,,335.78283893691304,359.90405241822185,None,0.0
246,0,4286,,194.90106258176556,393.36469080183707,None,0.0
247,-50,4236,,-84.09601138522606,136.62229597050953,None,0.0
248,0,4236,,219.97105285174,344.46405016436347,None,0.0
249,-23,4213,,308.45004478961084,326.97105285173933,None,0.0
250,-26,4187,,363.4894836736564,328.92792021856684,None,0.0
